kb_number,short_description,introduction,instructions,article_body
KB00000A90,Variation order creation and cancellation v.E WI27,Variation order creation and cancellation v.E WI27 Process.,"Contents 1 PURPOSE . 2 2 TARGET GROUP . 2 3 SCOPE . 2 4 RESPONSIBILITIES . 2 5 HANDOVER TO OM TEAM .. 2 6 CHECKING IF VERSION HAS BEEN ALREADY CREATED .. 3 7 VERSION CREATION: BUDJET VERSION -2 . 4 8 VARIATION ORDER CREATION . 5 9 ADDING COSTS TO NETWORK . 9 10 VERSION CREATION: BUDJET VERSION -1 . 10 11 HOW TO SEE ISSUED INVOICE FOR VARIATION ROW .. 10 12 CANCELLATION OF VARIATION ORDER ROW .. 11 REVISION HISTORY . 13 VARIATION ORDER CREATION AND CANCELLATION 1 PURPOSE This document instructs how to create and cancel variation orders to any existing sales order in SAP. Variation order means an agreed change to existing sales order with an additional item/row including increase/decrease of sales price and/or costs. 2target group This procedure is targeted to Order Management Specialists (OMS) in KDI Order Management team (OM team). 3Scope The document applies to processing of any existing sales orders in SAP Z04 within KDI in KONE Elevators Ltd. 4Responsibilities Order Management team is responsible to implement and maintain this procedure and instructions 5HANDOVER TO OM TEAM If variation order is related to additional material and tendering/ordering is processed via Technical Sales Support team (TSS team), then TSS team sends to OM team an email with needed details which enables OMS to create commercial input in SAP. The mail shall include the following details: Existing order and KONE Equipment number (KEN) referred to Order reference Description and quantity of goods per item KDI sales price and currency per item Price from supplier per item = KDI costs CMII percentage Dispatch point(s) -> if more than one detailed specification Delivery terms Terms of payment if special terms agreed upon Additional information - such as to be delivered with some other order etc. If variation order is related to other reasons where tendering/ordering is not via TSS team, then handover to OM team has to be done by Area Manager in charge of that particular country. 6checking IF VERsion has been already created Before creating the version, check if the version has already been created to the sales order. Go to YPMDS to project management view. Go to cost/billing and cost control Check that you have the correct SO number and correct SO value before pressing EXECUTE. If version -2 is empty, the version creation has not been done. Proceed to point nro 7. 7Version creation: Budjet version -2 Before issuance of variation order, you need to create an initial budjet version -02 manually. Go via YPMDS to project management view. Go to Cost/Billing and Create Budjet version Add project number, reference version to 0 and Target version to -2 (= originally estimated). DELETE tick in Process control / Test run EXECUTE You get a report of production run Repeat the steps from instructions point nro 6 to check that column for Version -2 is completed with values. Those can be compared with revised values including future variation order to be shown in column Version -1. 8variation ORDER CREATION Enter existing sales order (SO) via Z750 in change mode VARIATION MATERIAL Add variation material to 1 st free row. Use the correct variation material: FI_VARIATION ELE -> with any elevator order FI_VARIATION_ESC -> with any escalator order FI_VARIATION_FRB -> with any FRB order FI_VARIATION_MOD -> with any TRB order When issuing variation order because of SOC storage costs, please use the variation material A or B depending on the actual material. All 1 for order quantity Add High level item (HL itm) = item/row to which you want to link your variation order (row 5 under). Variation order is always linked with existing item/row – it cannot be created as independent item. Before pressing enter, write down the exchange rate IF the sales order is in USD. Costs are always added in EUR into configuration. ENTER Choose Type of variation: B. Linked to billing plan Select origin of variation as OTHERS Add Unit description: contents of variation Add costs to appropriate row: either material or labour or subcontracting Remember to indicate values always in EUR. If sales order is in USD, please use the exchange rate of the sales order. Add zero if no costs for some row BACK WITH GREEN ARROW SALES ORDER Double click the newly created variation row Select sheet Billing Plan A selection criteria of Milestones for billin plan is displayed, confirm WBS element (=the same as for main item) by ENTER Biling plan of the main item is displayed. Select row for Final invoice to which variation billing will be linked and click Copy . Pass the info screen by ENTER Billing plan for variation row will be displayed with the same details as for main row. GO BACK WITH GREEN ARROW ITEM TEXTS FOR SOC STORAGE Add item text into variation order by double clicking the variation order row, choosing TEXTS sheet and writing the description on ITEM NOTE. Text will appear on the invoice when issuing ADVANCE INVOICE for the variation order/storage. SALES PRICE Add sales price by double clicking item row and going to worksheet Conditions Add PB00 to 1 st free row and click ENTER PB00 row will move upwards. Add sales price for Variation order row and click ENTER . Icon in the beginning of BP00 row has turned from red circle into green square. GO BACK WITH GREEN ARROW Sales price for Variation order row is displayed at the end of item row And total sales price has been updated in field Net value SAVE 9aDDING COSTS TO NETWORK Costs need to be added also in network for the main item. If variation row is created for SOC storage, no need to ad costs to network. Costs are automatically added to the system when PR has been updated with the new material price with storage cost. Enter into network in Change mode. Enter network via green box “Activity overview”. Add costs into appropriate row and SAVE You can check proper registration of costs also in report via transaction S_ALR_87013543: 10version creation: BUDJET VERSION -1 Repeat steps 7 A-D but set target version for -1 . And you will get Version -1 shown with changed values for comparison with originally planned values in column Verrsion -2. 11HOW TO SEE ISSUED INVOICE FOR VARIATION ROW Separate advance invoice for variation row is not show in Z750 view as normally. To see the issued invoice and its number, go via YPMDS to the order and double click BILLING/PAYMENT ANALYSIS You are led to follow-up of sales orders (billing, payments and partial payments) view where you can see billing information for elevator and variation rows. Elevator or variation row can be identified from the report by its material. Below is the view for variation row where it can been seen that advance invoice for 100% has been issued on 3 rd February and the invoice number is shown in the BILL. DOC part. Invoice can be also seen by clicking the SO number which will take you to WBS element overview 12CANCELLATION OF VARIATION ORDER ROW In case variation order row has to be cancelled, follow instructions Order Cancellation in SAP, appropriate fields starting from 7.1. Check billing and payment status undo possible allocations cancel invoices Delete planned costs in network Go to network via transaction CN22, enter into network via green box Delete planned costs related ONLY to variation order – NO other costs to be deleted (related to main order) SAVE Cancel row in sales order Go to SO in change mode + add CANC in Description row Go to worksheet Reason for rejection and choose reason for rejection ENTER + validate info screen by another ENTER Variation row becomes “grey” SAVE REVISION HISTORY Issue Date Description of Change Compiled by Approved by A 25.9.2015 New document E. Vanninen P. Lehtinen B 13.11.2015 Multiple changes S. Kaasinen E. Vanninen C 26.11.2015 Changed point no 10 S. Kaasinen E. Vanninen D 29.01.2016 Changes made to point no 8 S. Kaasinen E. Vanninen E 03.02.2016 Changes made to point 3 and 9 S. Kaasinen E. Vanninen F 05.02.2016 How to see issued VO invoice S. Kaasinen E. Vanninen",
KB00000A92,Changing the Ship to party details,When user trying to change the ship to party address details in certain details all the other partner details also getting changed.,Please find the attached documentation for the solution stepwise.,
KB00000A93,KCC user found wrong business place in billing document.,KCC user found wrong business place in billing document.,"KCC business place determination rule: Business place is the financial report dimension to differentiate branch companies in KCC, thus should be posted correctly. When billing, the billing header business place is determined in following sequence: get BP from SO item VC get BP from add-on table zfi_kcc_ma_bp. get BP from standard configuration table idvkbur_bupla This logic is coded in billing copy control rule 902. The root cause for the wrong BP in this ticket is because in YFSO/YFLO/YV3B, the rule was 001 instead of 902.",
KB00000A97,Issues with Publication/Schedule.,Want to make sure that production orders are not printed automatically during the order release.,Update the production scheduling profile by unchecking Execute printing on release via tcode OPKP via SPRO This is done via NC,
KB0000A108,Ask IT - Business partner with GUID 5250A44DDF6A0F00E10080000A30B81F does not exist,What is the reason for error Business partner with GUID 5250A44DDF6A0F00E10080000A30B81F does not exist,"Jobs for program FDM_COLL_SEND_ITEMS appeared to be ending correctly as SM37 gave status Finished: Jobs FSCM and FSCM_DTATS are not relevant => could even be stopped. But in practice if we look in detail the log of these jobs, we can see that they actually were not fully processed and were stopped due to critical error. Can be seen in the spool (but difficult because over 100.000 messages per job) or via transaction SLG1 with object FIDM, subobject FIDM_SEND and a date restriction. Can be seen that all the jobs (history only kept for 1 month) with External ID = Update Run: Periodic Data Transfer (which correspond to the jobs Z04_FSCM_1D_1 and Z04_FSCM_INDIA_1D_1) actually ended with a ‘Very important error: ð The reason for these jobs to be terminated was amazingly caused by 1 single Customer for which due to an unknown reason data was only create partially for the Business partner of the customer ð The partial data was removed => and run prog FDM_COLL_SEND_ITEMS successfully ð The scheduled job at 22:00:00 also ran successfully (errors is ok, because not all customers are mapped to BP; succesfull as job does not end with STOP anymore) now: To be sure this solved the problem, simulated worklist creation for some of the cases mentioned in the mails like 10684176 from 220 and 12187628/12181132 from 282 ð Before the change, simulation said these would come in worklist (as simulation was still on old data…) ð After change and thus after successful FDM_COLL_SEND_ITEMS, simulation said they would not come in worklist anymore.",
KB0000A115,"Increase amount in Tolerance group for 252 Company code from VND 9,999,999,999 to 29,999,999,999 VND","User is unable to post the amount greater than VND 9.999,999,999","To increase the tolerance amount for users in 252 company code, use transaction OBA4. In upper limits for posting procedures section below in Amount per open item account item enter value as 29,999,999,999. and save it.By doing this user can post values greater than 9,999,999,999 VND Since it is a configuration setup, we need to transport it from one system to other system inorder to post the values in production.",
KB0000A116,Change in Balance sheet and profit and loss account for FSV KDE1 and KDE3,The list of GL's to be included in KDE1(balance sheet) and KDE3(profit and loss account) Changes in KDE1 134010 C. Aktive Rechnungsabgrenzungsposten C. Aktive Rechnungsabgrenzungsposten 175022 B.IV Kassenbestand und Guthaben bei Kreditin C.2 Verbindlichkeiten ggü. Kreditinstituten 175024 B.IV Kassenbestand und Guthaben bei Kreditin C.2 Verbindlichkeiten ggü. Kreditinstituten 175031 B.IV Kassenbestand und Guthaben bei Kreditin C.2 Verbindlichkeiten ggü. Kreditinstituten 175032 B.IV Kassenbestand und Guthaben bei Kreditin C.2 Verbindlichkeiten ggü. Kreditinstituten 175036 B.IV Kassenbestand und Guthaben bei Kreditin C.2 Verbindlichkeiten ggü. Kreditinstituten Changes in KDE3 436674 8. Sonstige betriebliche Aufwendungen 8. Sonstige betriebliche Aufwendungen 436675 8. Sonstige betriebliche Aufwendungen 8. Sonstige betriebliche Aufwendungen 415100 13. Zinsen und ähnliche Aufwendungen 13. Zinsen und ähnliche Aufwendungen 416006 5.b. Aufwendungen für bezogene Leistungen 5.b. Aufwendungen für bezogene Leistungen 416008 8. Sonstige betriebliche Aufwendungen 8. Sonstige betriebliche Aufwendungen 416998 8. Sonstige betriebliche Aufwendungen 8. Sonstige betriebliche Aufwendungen,"The above list of accounts needs to be included in respective FSV's KDE1 and KDE3. Use transaction code OB58. select the respective FSV's in order to include the accounts, select the respective nodes like for example in KDE1 we have C. Aktive Rechnungsabgrenzungsposten and select assign accounts and include the GL's to be added, and save it. As this is a configuration set up. we will transport these to production.",
KB0000A117,Mass update of the Exchange Rate field in Sales Order Items (VBKD-KURSK) in SAP,"1.1Issue Description: Please, perform the mass update of the Exchange Rate field in Sales Order Items (VBKD-KURSK) in SAP Z04.","1.1 Issue Description: Please, perform the mass update of the Exchange Rate field in Sales Order Items (VBKD-KURSK) in SAP Z04. 1.2 Solution: The idea here is to perform the mass update of the field VBKD-KURSK (""Exchange rate for price determination) from Sales Order items. Step-by-step guideline: 1. Transaction MASS: 2. Choose ""SD document: Business item data"": 3. In the field tab, select Exchange rate 4. Here put the list of order and items from the tab Rates to Update: 5. Execute. 6. Provide the Exchange rate 7. Press SAVE We can check this in SE16n transaction. Table VBKD. Provide the sales order and then check the exchange rate in KURSK field for the corresponding line item",
KB0000A119,Ask IT - SD document 340601290 is not in the database or has been archived,SD document 340601290 is not in the database or has been archived,"1.1 Issue Description: When we try to view or edit the sale order nos. SD NO- 340605002 / 340601291 / 340601524 /340602663/340601290 SD document 340601290 is not in the database or has been archived The orders were created but when trying to view in change/display mode, it is showing the error. 1.2 Analysis: Repair orders were created by the users and the sales document number was generated for it. When trying to open the order, the error message was displayed. When checked in Sm13, the following error was found. The order is not saved in the database due to the error message “Cost center assignment to the main work center has not been maintained” It is because, the Cost Center assignment to the Work center was not maintained. In the data which you provided, the Equipment is 40190607. It had the Work Center as 282AKD01. Cost Center 282AKDS is maintained to the Work center 282AKD01. When checked in Z03 system, the Validity End date was only until 31.01.2016. So after the end date, the cost center assignment is not valid. Because of this, error is obtained when updating the order to the database. I can see that in Z04 system, the work center is last changed on 16.02.2016. 1.3 Solution: Extend the validity End date in the Work center – Costing tab. Test done in Z03 system: Work center: 282AKD01 The Validity End date is on 31.01.2016 The validity is ended. So the Cost Center assignment to the Work center is no longer valid. Test case: I have created a Sales Lead notification: 302322968 for the equipment 40190607. The Equipment has the Main Work center has 282AKD01 For this sales lead, I have created YTRS SEB Repair order Repair Order No: 340489517 When trying to display this order, we are getting the error message The Updation of the Order to the database is terminated, because of the following error “Update was terminated Cost center assignment to main work center has not been maintained” Reason: The Cost Center assignment to the Work center validity has expired. Now I have extended the Validity end date Sales Lead Notification created: 302322941 Repair Order created: 340489519 The Repair Order is saved to the database and we can view it. In both the cases, the data which I maintained is the same. The difference is in the previous case, the Validity is expired and I have extended the validity of Cost center assignment to Work center.",
KB0000A120,Sold to (SP) 10701369 is on the split billing table but it is still combining invoices,Sold to (SP) 10701369 is on the split billing table but it is still combining invoices,"1.1 Issue Description: Sold to (SP) 10701369 is on the split billing table but it is still combining invoices. 1.2 Analysis: The sold to party 10701369 has been maintained in the Split Billing Table. Table: ZCS_UCT07 So when the sold to party is maintained in this table, SAP should split invoices when we are trying to do billing in VF01 using multiple contracts. But it is not happening and collective billing is happening for two contracts 40980016 and 40980012. 1.3 Testing: For the split billing to take place, the sold to party should also be maintained in another table ZWW_UCT08 in sm30 transaction. The sold to party was not maintained in this table. Hence the invoices was not splitting. The entry was maintained in this table in Z04 system Here, if we provide X to the item level field, then the individual invoice will be created for each line item in the contracts. 1.4 Solution: Now the invoices are splittin after maintaining entry in another table ZWW_UCT08",
KB0000A128,How to change cost center validity period,How to change cost center,to change cost center use transaction code KS02. Enter cost center Change the validity period by clicking edit option---> Analysis period--->select other period Select date and enter the details.,
KB0000A133,How to change the responsible person name in Profit center,How to change the responsible person name in Profit center,"In Transaction KS52, give the Profit center and click on enter Change the responsible person in the below highlighted field.",
KB0000A134,How to change the responsible person name in Cost center,How to change the responsible person name in Cost center,"SDO approval required In Transaction KS02, give the cost center and click on enter Change the responsible person in the below highlighted field.",
KB0000A137,How to change text in the auto triggered mail for approve or review in invoice verification portal (IVP),How to change text in the auto triggered mail for approve or review in invoice verification portal (IVP),"In Transaction ZF_TEXT, give the new details as in the below screen shot Change the details in the text according to the requirement for specific company code in Header (H), Middle (M) and Bottom (B).",
KB0000A138,How to change or add the GL account for financial statement adjustment,How to change or add the GL account for financial statement adjustment,"In Transaction OBXM, Select the appropriate transaction Give the adjustment account and reconciliation account",
KB0000A139,How to lock or unlock a profit center,How to lock or unlock a profit center,"SDO approval required Go to transaction KE53, give the profit center and click on enter. Check or uncheck the lock indicator field as per requirement to lock or unlock the profit center. Activate the profit center after you lock or unlock it.",
KB0000A141,User unable to login to Invoice verification portal,User unable to login to Invoice verification portal,Checked in Su01: User ID is correct User has P2P authorizations User account is out of validity in SAP Z04. Asked the GSD to increase the validity of user. Checked that user account validity is now increased. Confirmed with user that the issue is solved.,
KB0000A146,info record creations,SAP info records have been updated even though users have parameter id EVO and parameter value K4 is set.,"Given the solution as below We can assign default values that maintained in Customizing to a user by entering the key of the default value in the user master record under the parameter ID ""EVO"".Here the maintained value is K4 that is No update of info records. For example when a PO is created by user LGBNRO as per the parameter id EVO of the user there will be no update of info records because the parameter EVO set the default values as No update of info records. This results to default to come like below by parameter id EVO and value K4 but user can change it manually if he want.",
KB0000A151,Spare order Material not able to issue - KM50125279G01,Branch have sufficient stock & also the same material not register any other order’s. kindly help to solve this issue Material not able to issue à KM50125279G01 Order No 340598166,Given the below solution. The availability check changed to Y1 on 17.06.2016 which is after the creation of sales order .So for new sales order this pop out will not come. For this sales order as this will not pick up please enter the confirmed quantity manually in the procurement tab and save. After this try to post goods issue.,
KB0000A152,Change in MRP Scheduling horizon,To modify the Scheduling horizon for detail planning in transaction OPU5,We have changed the Scheduling horizon for detail planning from 100 to 40 in Z03 & Z04 systems as shown below.,
KB0000A153,Reqeust regarding SAP Z 04 - Client 007 - CCode: 221 - Goods receipt not possible for material KM50006052G01,"Goods receipt not possible for material KM50006052G01 - see PO 4513913729 item 50 error message: ""Material KM50006052G01 has status Traceable Component in plant 221""","Give the below solution The PO- 4513913729 item 50 and while posting the GR for this material KM50006052G01 , you are getting a warning message ‘’ Material KM50006052G01 has status Traceable Component in plant 221’’ because of field ‘’X-plant matl status’’ choosen as 10 in material master record , hence you are getting this warning message.",
KB0000A157,SAFT Z04 extraction file November 2015,SAFT Z04 extraction file November 2015,"Jobs to be run to obtain OK result find the below, steps Transaction codes Contents FTW1A FTWE FTWD Enter parameters",
KB0000A176,DP90 Error - Cost Element,Unable to process BIS error for Service Order 9AAU71298804 - DMR not created,"1.1Issue Description: Unable to process BIS error for Service Order 9AAU71298804 - DMR not created due to Service Orders stuck in Error-""Error During material determination"" 1.2Analysis: Cost Element assigned in Service Order was not assigned to DIP Profile Material, hence we assigned the Cost Element in transaction ODP1 Get the DIP Profile of the service order from IW32 Control records, based on whcih go to ODP1 transaction and select the appropriate DIP profile. Select Usage and then go to the Material detaermination, where you select teh material and then the corresponding COST element and see if the coste element exists: If not maintain the same in GS02 transaction for the corresponding Set",
